idx,Geostat_Mu_K,Geostat_Mu_Ss,Geostat_Rho,Model_Type,Phys_Perc_Backbone,Phys_Perc_Betti0,Phys_Perc_ClusterSize,Phys_Info_Entropy,Phys_Info_Div,Phys_Morph_Lacunarity,Phys_Morph_Perimeter,Target_K_eff,Target_LogTau_q,Target_LogTau_h,DPL_a1,DPL_a2,DPL_b0
97,-10.363839192604203,-9.319632250159838,-0.9705783333640646,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0002600942072728809,0.9602623813441441,1.7203507500407598,9.125620020807563,6.193121592503962,-0.0002600942072728809
98,-6.051601059384826,-6.561403459074123,0.2974743721451041,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.008645072946382603,1.0386196283163556,1.7301179306156347,10.929986569921688,9.577721339150411,-0.008645072946382603
99,-4.1858425439779765,-4.14979536253425,0.2513756120027666,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.08098190122888015,0.9758151803487314,1.7062909170519136,9.458345635368246,7.900153314290775,-0.08098190122888015
100,-10.616427669393719,-4.673357614295466,0.7602379897257077,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.003305646534137475,1.2364402073782352,1.7908769184413467,17.236147715462586,24.707167863339233,-0.003305646534137475
101,-8.427681069048026,-7.456047923405234,0.13516017827539928,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0017845872001129711,1.0360419795176088,1.7509042944466218,10.865306441269208,9.359275874297692,-0.0017845872001129711
102,-10.483107957288267,-6.820757043043113,-0.5599527918699347,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0005420924069826397,1.0211823325883103,1.7299813559356854,10.49983157172503,8.211180912598701,-0.0005420924069826397
103,-3.525238727570473,-5.841212916370272,0.4563284288776679,1,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.10727413198423488,0.6416157200264423,1.1527978761927886,4.381428410598074,1.6511338099215709,-0.10727413198423488
104,-9.650416940837886,-4.1045213003698935,-0.27746724638541975,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0046293517948460235,0.9989914147455072,1.7166336795532815,9.976803412042603,7.383475193550059,-0.0046293517948460235
105,-11.562975579261483,-7.763214311371138,0.17099982033207617,2,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.0009553582068965959,1.3121775979347476,1.9787264015548158,20.5200114104101,26.22247370158368,-0.0009553582068965959
106,-3.7090504452491047,-6.126041843667119,-0.22397114654246753,0,0.5,0.1,0.2,0.5,0.1,0.3,100.0,-0.036789369614393774,0.859475782633138,2.022217589347666,7.235620534915989,2.651356950252146,-0.036789369614393774
